⭐ *VOCABULARY* • Kosakata ⭐
☆ Common Verbs ☆
◇ Kata Kerja Umum ◇

*Page #1*

• be         adalah/menjadi
• have     mempunyai
• do         melakukan
• say        mengatakan
• get        mendapatkan
• go         pergi
• make    membuat
• like        menyukai
• know    mengetahui
• take      mengambil
• see       melihat
• look      melihat/kelihatan
• come    datang
• think     berpikir
• use       menggunakan
• work     bekerja
• want     mau
• give       memberikan
• find       menemukan
• tell         memberitahu
• ask        bertanya
• seem     terlihat/nampak
• feel        merasakan/terasa
• try         mencoba
• leave     meninggalkan/pergi
• call        memanggil
• mean    berarti/bermaksud
• need     membutuhkan
• love       mencintai/menyukai
• let         membiarkan
• thank    berterima kasih
• help      membantu
• talk       berbicara
• wait      menunggu
• believe  percaya
• keep     menjaga/menyimpan
• put       menaruh
• stop     berhenti
• listen    mendengarkan
• happen   terjadi
• guess       menebak
• care         peduli
• remember   mengingat
• hear             mendengar
• stay              tinggal, tetap
• mind            terpikir/memikirkan
• hope            berharap
• show           menunjukkan
• matter         menjadi masalah
______________________________
10-11-20 | 🇬🇧🇺🇸 Belajar English
