🔶 *Vocabulary*

_👷 Nama-nama tukang dalam bahasa Inggris._

Tukang kayu        *Carpenter*
Tukang batu         *Bricklayer*
Tukang ledeng     *Plummer*
Tukang gali           *Digger*
Tukang mesin      *Mechanist*
Tukang listrik       *Electrician*
Tukang besi         *Blacksmith*
Tukang servis      *Technician*
Tukang kebun      *Gardener*
Tukang jahit         *Tailor*
Tukang cukur       *Barber*
Tukang daging     *Butcher*
Tukang roti            *Baker*
Tukang masak       *Cook*
Tukang jamu         *Herbalist*
