⭐ *KOSAKATA* ⭐
_Kata Kerja Beraturan #3_
_______________________
*señalar*       mengisyaratkan
*preparar*      menyiapkan
*faltar*            kekurangan
*acompañar* menemani
*desear*         menginginkan
*enseñar*       mengajar
*vender*         menjual
*representar* mewakili
*mandar*      memerintahkan
*asegurar*     mengamankan
*matar*          membunuh
*guardar*      melindungi
*iniciar*          memulai
*bajar*           turun
*notar*           mencatat
*meter*          memasukkan
*pretender*    mencoba
*cortar*          memotong
*corresponder* sesuai
*aprovechar* memanfaatkan
*apoyar*        mendukung
*aumentar*    menambah
*abandonar* meninggalkan
*quitar*          menghilangkan
*conservar*   mengawetkan
*depender*   bergantung
*compartir*    membagikan
*consistir*    berisi, terdiri dari
*funcionar*    berfungsi
*insistir*          memaksa
_______________________
🇪🇸 *Belajar Español*
