⭐ *KOSAKATA* ⭐
_Nama Negara_
_______________________
🇺🇸 *amerika* Amerika アメリカ
🇦🇷 *aruzenchin* Argentina アルゼンチン
🇻🇳 *betonamu* Vietnam ベトナム
🇧🇷 *burajiru* Brazil ブラジル
🇨🇱 *chiri* Chile チリ
🇨🇳 *chuugoku* Cina 中国
🇩🇰 *denmaaku* Denmark デンマーク
🇩🇪 *doitsu* Jerman ドイツ
🇪🇬 *ejiputo* Mesir エジプト
🇪🇨 *ekuadoru* Ekuador エクアドル
🇵🇭 *firipin* Filipina フィリピン
🇫🇷 *furansu* Prancis フランス
🇬🇭 *gaana* Ghana ガーナ
🇬🇷 *girisha* Yunani ギリシャ
🇭🇹 *haichi* Haiti ハイチ
🇬🇧 *igirisu* Inggris イギリス
🇮🇩 *indoneshia* Indonesia インドネシア
🇯🇲 *jamaika* Jamaika ジャマイカ
🇿🇼 *jinbabue* Zimbabwe ジンバブエ
🇨🇦 *kanada* Kanada カナダ
🇰🇷 *kankoku* Korea 韓国
🇲🇾 *mareeshia* Malaysia マレーシア
🇲🇽 *mekishiko* Meksiko メキシコ
🇳🇬 *naijeria* Nigeria ナイジェリア
🇯🇵 *nihon* Jepang 日本
🇦🇺 *oosutoraria* Australia オーストラリア
🇳🇱 *oranda* Belanda オランダ
🇵🇰 *pakisutan* Pakistan パキスタン
🇵🇹 *porutogaru* Portugal ポルトガル
🇱🇦 *raosu* Laos ラオス
🇷🇺 *roshia* Rusia ロシア
🇸🇬 *shingapooru* Singapura シンガポール
🇪🇸 *supein* Spanyol スペイン
🇹🇭 *tai* Thailand タイ
🇹🇷 *toruko* Turki トルコ
🇺🇦 *ukuraina* Ukraina ウクライナ
🇺🇾 *uruguai* Uruguay ウルグアイ
🏴󠁧󠁢󠁷󠁬󠁳󠁿 *weeruzu* Wales ウェールズ
🇯🇴 *yorudan* Yordania ヨルダン 
🇿🇲 *zanbia* Zambia ザンビア
_______________________
🇯🇵 *Belajar Nihon-go*
